trayectoria,S_T
1820,1168.09
1821,1036.91
1822,1072.25
1823,1040.08
1824,1177.66
1825,1471.94
1826,846.021
1827,1093.28
1828,878.322
1829,829.545
1830,770.514
1831,956.492
1832,1634.44
1833,896.001
1834,1253.45
1835,1217.15
1836,1209.56
1837,799.245
1838,1214.81
1839,913.484
1840,947.641
1841,815.439
1842,1054.81
1843,1234.97
1844,1036.7
1845,1142.8
1846,1024.23
1847,1043.21
1848,770.596
1849,915.646
1850,732.128
1851,1036.38
1852,1392.11
1853,1142.89
1854,1227.64
1855,1123.23
1856,1120.23
1857,1251.64
1858,719.496
1859,1334.23
1860,1170.97
1861,740.942
1862,1209.29
1863,1098.56
1864,1253.72
1865,855.529
1866,867.842
1867,900.28
1868,1033.51
1869,871.19
1870,998.161
1871,819.689
1872,702.581
1873,988.616
1874,1028.84
1875,1234.02
1876,1500.67
1877,954.461
1878,971.72
1879,1244.23
1880,887.945
1881,992.243
1882,953.242
1883,1416.16
1884,958.516
1885,975.033
1886,1117.23
1887,926.115
1888,1002.45
1889,1113
1890,1136.15
1891,1254.1
1892,1123.78
1893,935.463
1894,1217.49
1895,789.701
1896,794.8
1897,937.861
1898,1193.69
1899,947.982
1900,1059.64
1901,757.844
1902,1227
1903,604.662
1904,899.616
1905,984.922
1906,594.675
1907,1298.64
1908,1612.15
1909,1110.34
1910,762.901
1911,838.072
1912,703.887
1913,932.767
1914,1300.88
1915,978.805
1916,1131.55
1917,952.82
1918,1032.13
1919,1100.22
1920,870.459
1921,1127.89
1922,963.779
1923,1049.88
1924,920.672
1925,919.461
1926,896.711
1927,968.489
1928,846.315
1929,1316
1930,1136.91
1931,1377.57
1932,960.289
1933,1093.5
1934,956.411
1935,822.259
1936,952.379
1937,1273.89
1938,1099.6
1939,778.107
1940,999.429
1941,1679.74
1942,1173.91
1943,668.544
1944,930.863
1945,922.414
1946,1119.18
1947,1447.23
1948,1156.65
1949,848.824
1950,1315.14
1951,1000.39
1952,1046.09
1953,840.795
1954,1061.35
1955,907.545
1956,1142.74
1957,1105.59
1958,963.074
1959,961.33
1960,989.912
1961,863.083
1962,1359.05
1963,951.442
1964,1042.69
1965,910.77
1966,817.94
1967,1154.01
1968,796.804
1969,775.817
1970,1078.84
1971,612.299
1972,1242.87
1973,846.358
1974,1036.9
1975,1052.73
1976,746.738
1977,870.978
